Lp.;Dzial;Osoba wprowadzajaca;nazwa uslugi;metoda/zakres prac;cena netto [zl]
11.;DIL;Tomasz Miodonski;Transport spycharki TD-9H;Transport spycharki TD-9H;35/km;;
12.;DIL;Tomasz Miodonski;Usluga transportu pojazdem STAR S2000;Usluga transportu pojazdem STAR S2000;4,60 zl/km;;
13.;DIL;Tomasz Miodonski;Usluga wypozyczenia Walca okolkowanego;Usluga wypozyczenia Walca okolkowanego;70 zl/mtg;;
14.;DIL;Tomasz Miodonski;Usluga pracy mechanika samochodowego ;Usluga pracy mechanika samochodowego ;120 zl/h;;
1.;Dzial Funduszy Zewnetrznych i Srodowiska;Joanna Tabaszewska-Lis;Przygotowanie próbki (wegla kamiennego i biomasy stalej) do badan;LP-02 wydanie 02 z 20.08.2021 r./ Kruszarka szczekowa/mlyn tnacy FRITSCH Pulverisette 19;40;;
2.;Dzial Funduszy Zewnetrznych i Srodowiska;Joanna Tabaszewska-Lis;Oznaczanie zawartosci wilgoci calkowitej w próbkach wegla kamiennego i biomasy stalej;PB-01 wydanie 02 z 20.08.2021 r. (metoda wagowa)/ Suszarka POL EKO Aparatura SLW 53 Eko;20;;
3.;Dzial Funduszy Zewnetrznych i Srodowiska;Joanna Tabaszewska-Lis;Oznaczanie zawartosci wilgoci w próbce analitycznej wegla kamiennego i biomasy stalej;PB-01 wydanie 02 z 20.08.2021 r. (metoda wagowa)/ Suszarka POL EKO Aparatura SLW 53 Eko;20;;
4.;Dzial Funduszy Zewnetrznych i Srodowiska;Joanna Tabaszewska-Lis;Oznaczanie zawartosci popiolu w próbkach wegla kamiennego i biomasy stalej;PB-02 wydanie 02 z 20.08.2021 r. (metoda wagowa)/ Piec muflowy FCF5 CZYLOK;40;;
5.;Dzial Funduszy Zewnetrznych i Srodowiska;Joanna Tabaszewska-Lis;Oznaczanie ciepla spalania i obliczanie wartosci opalowej w próbkach wegla kamiennego i biomasy stalej;PN-81/G-04513*(metoda kalorymetryczna)/ Kalorymetr IKA C2000                                                                                                                                                                                                                              *- ze wzgledów merytorycznych laboratorium badawcze MPEC Nowy Sacz dalej stosuje wycofana norme bez zastapienia ;80;;
6.;Dzial Funduszy Zewnetrznych i Srodowiska;Joanna Tabaszewska-Lis;Oznaczanie zawartosci siarki calkowitej w próbkach wegla kamiennego i biomasy stalej;PB-03 wydanie 01 z 15.04.2021 r. (metoda miareczkowa)/ Piec rurowy PR-40/1400S;30;;
1;DT;Dyspozytorzy;Wazenie uslugowe;Wykonywanie uslugi wazenia ;15;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
